id,loss
4,1550.31323242
6,2020.71191406
9,10201.6503906
12,6838.58056641
15,770.213012695
17,2329.53857422
21,2124.74560547
28,881.817687988
32,2609.3269043
43,3047.70117188
46,2650.25830078
50,988.924438477
54,1170.37390137
62,1930.06091309
70,2280.75048828
71,5055.95751953
75,2008.05273438
77,2413.60375977
81,2542.14550781
83,2537.08740234
87,1864.79846191
97,1513.36425781
103,1132.13232422
119,1063.6126709
120,1799.66662598
127,979.779418945
138,4884.69384766
141,3759.44287109
148,648.865112305
150,2473.57177734
151,2206.83447266
158,1499.38989258
160,5686.26757812
165,2558.52783203
168,3550.90625
169,3873.37182617
177,2883.88793945
178,3342.45117188
184,2063.47143555
194,9581.56445312
198,1858.51269531
203,3108.94604492
211,2396.0
217,1267.72875977
219,1365.76940918
221,5226.68896484
227,1908.68945312
230,1678.16821289
235,2148.69580078
240,661.985778809
243,3059.11499023
249,7248.50634766
253,2750.55102539
258,1401.49291992
261,1770.0703125
263,3444.2668457
264,2879.5456543
265,4013.00146484
268,1885.57885742
271,1138.44921875
274,6262.18847656
275,677.591491699
279,1543.57641602
282,1558.33984375
286,3306.71142578
288,1018.76550293
294,2010.69702148
296,1019.07226562
297,1341.46447754
300,770.358032227
303,8536.20410156
314,969.508666992
315,4856.86816406
321,2751.29931641
323,3378.45654297
330,3953.89379883
341,1986.07849121
342,4500.51464844
352,1595.55358887
353,3605.45776367
360,5290.70849609
361,2392.78955078
362,4501.18066406
366,1401.6706543
372,3192.05810547
376,2895.34521484
377,2309.26611328
379,1585.4609375
380,3356.71337891
387,1892.04882812
392,1938.51293945
394,10263.3349609
395,1577.93640137
397,1492.04052734
407,5515.80224609
411,9523.49804688
416,2408.82299805
417,1510.38977051
419,3965.3359375
428,6355.59619141
431,1908.51525879
436,9167.171875
438,1609.09204102
445,6715.15332031
446,7381.36572266
455,1309.68579102
456,1231.02416992
461,985.32043457
463,1899.08691406
464,3933.72070312
466,1701.70019531
467,1503.11401367
470,1329.8347168
475,1427.12670898
482,3316.35498047
490,3663.16064453
496,1836.94897461
497,4348.87255859
508,2692.09912109
510,1778.74291992
512,1993.68127441
513,3379.34570312
523,1723.0982666
531,4760.44042969
532,2174.84130859
533,1325.61010742
537,1159.46777344
544,4944.21875
547,2233.69970703
556,8030.58349609
565,1384.04772949
566,1177.63037109
571,1380.74853516
573,1723.70239258
574,935.751586914
581,2077.02490234
585,2171.5378418
589,1790.76330566
597,1797.85974121
601,3285.62963867
602,1917.94848633
613,1498.41967773
616,1358.52893066
619,2320.96020508
622,1882.88085938
623,2106.08154297
629,1594.81213379
634,1538.8449707
638,1092.18615723
642,1106.01794434
643,2044.81640625
645,966.730102539
648,6837.56396484
652,1174.31542969
664,1042.25805664
666,2211.36865234
672,898.855651855
676,2346.65844727
678,4617.59667969
682,1956.31323242
686,2890.21826172
688,2094.60131836
689,1203.27038574
690,1753.95666504
692,12645.6269531
695,1573.62939453
697,3634.39794922
698,2395.89501953
706,2505.32128906
708,1431.47802734
712,3076.15332031
715,4162.01367188
717,1356.81469727
725,3276.46728516
729,1107.68920898
737,1405.02478027
739,5536.17480469
747,3833.015625
753,2586.85229492
758,2188.89379883
759,2033.82983398
763,1413.64880371
773,4233.15917969
774,2037.44958496
776,1460.0814209
788,3126.70043945
790,3115.17553711
794,963.524597168
801,2706.41577148
802,1336.75622559
805,1351.36938477
809,5583.73632812
812,1681.97912598
825,2469.06518555
828,2318.39428711
830,1353.7154541
833,1115.8717041
850,5484.87109375
852,6189.10253906
862,1393.05822754
863,1311.87817383
864,1588.88647461
865,3746.78442383
868,6591.12890625
872,1645.5592041
879,4941.68066406
880,1642.48242188
883,1202.45239258
886,1379.5847168
923,1758.65429688
924,1402.24475098
932,1401.25195312
945,6080.12744141
947,6176.8203125
948,2122.88916016
955,2761.20068359
963,4094.08154297
979,1408.79492188
989,1396.61584473
994,3058.84228516
995,1883.24707031
998,1206.88696289
1000,4482.70117188
1018,1796.11010742
1019,1723.79492188
1028,1614.48364258
1034,1294.40063477
1038,1598.8894043
1040,1376.57641602
1042,1312.66674805
1057,6882.24707031
1058,2177.61083984
1063,944.095703125
1066,4519.26416016
1071,4138.94824219
1073,3909.22387695
1074,2704.39404297
1077,2761.36523438
1080,9998.484375
1088,841.604125977
1096,787.701293945
1097,12494.0332031
1105,6178.63330078
1115,1773.90270996
1116,3094.10375977
1122,2273.60205078
1130,5060.97705078
1133,985.181152344
1137,1680.28125
1140,1907.78222656
1143,8261.06054688
1149,6039.63183594
1150,955.015014648
1153,768.868286133
1157,882.751159668
1180,650.649841309
1183,1012.41473389
1188,1662.66821289
1193,1062.03491211
1200,786.880554199
1209,4431.14746094
1214,1954.53588867
1219,2094.05639648
1223,6552.36279297
1227,812.583618164
1228,1559.30493164
1229,4683.32910156
1233,854.970214844
1238,6345.21679688
1239,1954.38989258
1241,3298.96362305
1243,1739.44470215
1244,1180.10144043
1245,3037.56176758
1277,4313.52001953
1279,3553.20751953
1292,12689.25
1293,1400.57580566
1299,9728.30273438
1304,3367.86401367
1313,3755.6574707
1328,2046.59631348
1330,1078.02636719
1334,1485.78564453
1335,1348.05944824
1336,5714.34667969
1341,1076.90039062
1344,1160.0949707
1351,824.126464844
1352,2656.10546875
1354,1504.52807617
1368,4153.52880859
1373,1408.39245605
1375,647.958984375
1381,1466.63208008
1384,4903.76806641
1385,4351.69970703
1388,6098.29785156
1401,5922.33105469
1402,2738.15014648
1404,1553.84240723
1406,1520.45214844
1409,1133.22033691
1422,1381.17834473
1429,3072.36450195
1433,5753.42285156
1438,1061.59936523
1444,1122.08776855
1446,1114.75415039
1450,1168.79162598
1451,774.589233398
1454,1785.83374023
1458,2191.28369141
1461,3608.77856445
1464,5975.203125
1465,992.510375977
1478,2137.61181641
1479,1675.71850586
1480,2586.31933594
1484,2371.67993164
1486,838.842163086
1488,875.280944824
1489,3643.18408203
1491,964.26965332
1507,2375.49975586
1515,2124.63964844
1519,2743.36108398
1528,1654.8392334
1529,962.281433105
1530,2978.78515625
1532,1182.3302002
1541,1656.88903809
1542,3453.24365234
1547,1487.50256348
1549,1233.77832031
1553,2291.49389648
1554,3018.46533203
1555,1288.08654785
1559,1563.67358398
1565,1473.74731445
1568,1150.56384277
1576,3809.63916016
1579,1049.22753906
1592,911.353393555
1596,3159.65136719
1605,931.101257324
1607,1553.77282715
1612,2173.57666016
1617,2848.6315918
1619,2365.33862305
1620,8594.71777344
1624,2563.07470703
1627,1345.29309082
1633,1650.93493652
1636,1236.75195312
1639,1103.28320312
1640,4626.69970703
1644,1157.46923828
1646,1410.65014648
1647,2376.36938477
1654,1231.30322266
1655,3039.49560547
1664,6449.30419922
1665,2073.21142578
1667,4391.46875
1669,1134.48901367
1678,2249.86401367
1682,1933.96850586
1689,1015.17041016
1690,2570.60620117
1693,5181.27197266
1695,929.124633789
1705,2215.53344727
1706,2626.82739258
1708,2242.35961914
1716,2071.4074707
1720,9009.19726562
1722,1743.71191406
1749,4276.18847656
1750,1511.25305176
1751,5700.3046875
1760,2682.34179688
1763,4429.13085938
1770,1447.34155273
1777,1932.81384277
1785,5670.4453125
1791,1187.76489258
1794,4627.05517578
1800,1208.4230957
1816,1266.57983398
1817,967.566589355
1821,3173.90405273
1836,1426.24682617
1838,1601.06054688
1851,1927.34960938
1852,2838.26171875
1854,2392.67138672
1856,812.661987305
1865,765.672485352
1872,1075.42553711
1878,762.557678223
1880,1005.70184326
1881,1410.50634766
1882,1981.89294434
1886,885.497375488
1892,1408.94909668
1894,2381.50683594
1898,2670.63037109
1899,2340.70654297
1902,1185.01611328
1903,4196.50683594
1906,1328.48364258
1910,2271.6340332
1911,1742.46716309
1914,3320.54418945
1929,3165.68212891
1932,1381.9519043
1952,992.689941406
1959,1380.82568359
1960,1929.6394043
1976,3980.75976562
1980,2827.17871094
1981,1968.55444336
